subNum,startTime,colBalance,totalTrials,totalPoints,accBeforeExclusions,accAfterExclusions,anticipations,timeouts,total_exclusions,,rt_enr,rt_high,rt_low,rt_abs,,acc_enr,acc_high,acc_low,acc_abs,,chce_enr_high,chce_enr_low,chce_high_low,,valEst_enr,valEst_high,valEst_low,,valEstRank_enr,valEstRank_high,valEstRank_low,,,,were_you_distracted,other_comments,,,rt_enr_b1,rt_enr_b2,rt_enr_b3,rt_enr_b4,rt_enr_b5,rt_enr_b6,rt_enr_b7,rt_enr_b8,rt_enr_b9,rt_enr_b10,rt_enr_b11,rt_enr_b12,rt_enr_b13,rt_enr_b14,rt_enr_b15,rt_enr_b16,rt_high_b1,rt_high_b2,rt_high_b3,rt_high_b4,rt_high_b5,rt_high_b6,rt_high_b7,rt_high_b8,rt_high_b9,rt_high_b10,rt_high_b11,rt_high_b12,rt_high_b13,rt_high_b14,rt_high_b15,rt_high_b16,rt_low_b1,rt_low_b2,rt_low_b3,rt_low_b4,rt_low_b5,rt_low_b6,rt_low_b7,rt_low_b8,rt_low_b9,rt_low_b10,rt_low_b11,rt_low_b12,rt_low_b13,rt_low_b14,rt_low_b15,rt_low_b16,rt_abs_b1,rt_abs_b2,rt_abs_b3,rt_abs_b4,rt_abs_b5,rt_abs_b6,rt_abs_b7,rt_abs_b8,rt_abs_b9,rt_abs_b10,rt_abs_b11,rt_abs_b12,rt_abs_b13,rt_abs_b14,rt_abs_b15,rt_abs_b16,,acc_enr_b1,acc_enr_b2,acc_enr_b3,acc_enr_b4,acc_enr_b5,acc_enr_b6,acc_enr_b7,acc_enr_b8,acc_enr_b9,acc_enr_b10,acc_enr_b11,acc_enr_b12,acc_enr_b13,acc_enr_b14,acc_enr_b15,acc_enr_b16,acc_high_b1,acc_high_b2,acc_high_b3,acc_high_b4,acc_high_b5,acc_high_b6,acc_high_b7,acc_high_b8,acc_high_b9,acc_high_b10,acc_high_b11,acc_high_b12,acc_high_b13,acc_high_b14,acc_high_b15,acc_high_b16,acc_low_b1,acc_low_b2,acc_low_b3,acc_low_b4,acc_low_b5,acc_low_b6,acc_low_b7,acc_low_b8,acc_low_b9,acc_low_b10,acc_low_b11,acc_low_b12,acc_low_b13,acc_low_b14,acc_low_b15,acc_low_b16,acc_abs_b1,acc_abs_b2,acc_abs_b3,acc_abs_b4,acc_abs_b5,acc_abs_b6,acc_abs_b7,acc_abs_b8,acc_abs_b9,acc_abs_b10,acc_abs_b11,acc_abs_b12,acc_abs_b13,acc_abs_b14,acc_abs_b15,acc_abs_b16
1,2021-06-21_21:23:28,3,640,17257,0.495312,0.547406,39,10,49,,513.732895,481.275641,563.275309,565.809859,,0.546763,0.549296,0.566434,0.525926,,0,0,0.5,,14,13,12,,1,2,3,,,,watching tv;,long,,,483.333333,397.316667,362.3,391.28,471.557143,342.05,629.1,966.1,511.475,512.1,683.983333,540.04,487.633333,471.075,488.8,627.642857,322.442857,225.9,385.325,353.7,430.2,320.133333,650.74,506.85,321.15,700.16,599.55,659.983333,563.32,444.575,521.144444,503.133333,676.4,450.9375,409.65,488.133333,620.875,571.54,539.583333,368.575,516.128571,893.033333,691.775,567.68,478.485714,504.05,519.5,360.1,247.1,595.85,596.4,425.7,343.433333,475.9,486.166667,697.466667,652.94,942.48,604.4,422.325,516.233333,529.5,636.82,556.975,,0.333333,0.75,0.625,0.625,0.777778,0.6,0.111111,0.571429,0.444444,0.555556,0.6,0.5,0.375,0.5,0.555556,0.875,0.777778,0.25,0.4,0.444444,0.444444,0.666667,0.625,0.666667,0.5,0.5,0.444444,0.666667,0.5,0.444444,1,0.428571,0.625,0.8,0.222222,0.375,0.444444,0.625,0.666667,0.571429,0.7,0.9,0.444444,0.5,0.777778,0.444444,0.5,0.375,0.25,0.666667,0.444444,0.444444,0.375,0.555556,0.375,0.428571,0.5,0.625,0.7,0.571429,0.666667,0.555556,0.625,0.571429
2,2021-06-22_00:14:57,2,640,130546,0.945313,0.945724,0,0,0,,630.561333,588.00137,606.201504,556.569863,,0.955414,0.979866,0.898649,0.948052,,1,0,0,,360,360,40,,1.5,1.5,3,,,,Yes; from surroundings;,Experiment was long and I couldn't keep my gaze at the screen for long periods of time.,,,757.677778,659.477778,601.65,700.722222,576.61,666.88,621.41,752.633333,642.877778,513.677778,585.96,652.822222,576.155556,592.03,583.877778,619.944444,628.36,581.04,574.6,614.433333,524.288889,549.728571,612.722222,583.411111,581.38,594.12,545.575,607.26,597.72,607.975,584.81,601.588889,736.277778,581.966667,603.725,595,636.425,619.62,672.611111,560.533333,553.133333,547.9875,578.085714,636.157143,646.516667,594.38,573.6125,567.366667,612.914286,533.06,530.75,536.41,526.6,529.866667,557.0125,556.38,566.911111,505.3875,630.255556,651.4,536.4625,575,539.266667,520.577778,,0.9,1,1,0.9,1,1,1,0.9,0.9,0.9,1,1,0.9,1,1,0.9,1,1,0.888889,1,1,0.875,1,1,1,1,0.888889,1,1,1,1,1,1,1,0.888889,0.777778,0.888889,1,0.9,1,1,0.888889,0.7,0.777778,0.75,1,0.888889,0.9,0.777778,1,1,1,1,0.9,0.888889,1,1,0.888889,1,1,0.8,1,0.9,1
3,2021-06-22_20:22:25,1,640,101019,0.90625,0.912541,0,2,2,,704.41791,695.333333,691.578472,663.924286,,0.875817,0.90604,0.935065,0.933333,,0.5,1,1,,360,330,36,,1,2,3,,,,I didn't get distracted through the experiment; but every time when starting a new block I often cant focus as quickly. ;,it's one of the most interesting experiments I've done so far!,,,773.6,757.79,794.357143,766.533333,706.75,756.844444,706.025,663.122222,699.7,556.82,713.388889,729.775,710.2,610.3125,648.7,709.13,795.8375,672.722222,676.033333,700.25,648.442857,762.375,664.9625,646.544444,737.811111,662.375,642.975,689.216667,734.455556,652.9625,716.75,707.288889,715.5,738.477778,732.677778,704.071429,717.67,710.155556,746.76,718.55,662.6,598.322222,682.788889,689.577778,613.933333,632.322222,763.4625,622.285714,740.711111,700.5625,658.477778,690.322222,618.114286,796.875,645.322222,624.355556,612.844444,625.855556,656.885714,674.83,663.366667,661.7125,673.12,592.04,,0.75,1,0.7,0.9,0.8,0.9,0.8,1,0.777778,1,0.9,0.888889,0.9,0.888889,0.777778,1,0.8,1,1,1,0.875,0.888889,0.888889,1,1,0.8,0.8,0.6,1,0.888889,1,1,1,0.9,0.9,0.777778,1,0.9,1,1,1,1,0.9,1,0.9,1,0.888889,0.777778,0.9,0.888889,1,1,0.7,1,1,0.9,0.9,1,0.875,1,1,0.8,1,1
4,2021-06-23_17:38:17,4,640,144648,0.9625,0.962171,0,0,0,,561.096622,551.249655,555.902703,541.35625,,0.973684,0.960265,0.973684,0.941176,,1,1,1,,400,380,40,,1,2,3,,,,no;,no,,,560.277778,623.066667,556.255556,544.333333,588.63,551.7125,627.78,554.09,540.18,559.23,516.233333,581.4,506.42,542.344444,511.3625,606.577778,596.044444,571.977778,603.11,507.72,622.175,605.777778,571.322222,536.7625,546.8,534.69,577.59,508.57,518.525,487.577778,482.688889,554.375,702.66,552.088889,555.277778,597.525,648.111111,556.77,606.15,500.78,546.95,532.6625,520.78,543.833333,521.822222,520.522222,502.22,500.64,545.825,515.1125,529.122222,589.355556,630.34,653.822222,577.622222,534.788889,494.1,533.4875,526.011111,510.355556,476.93,516.444444,503.622222,521,,0.9,0.9,1,0.9,1,1,1,1,1,1,1,1,1,1,0.888889,1,1,1,1,1,1,0.9,0.9,0.888889,1,1,1,1,1,0.9,0.9,0.888889,1,1,1,0.888889,0.9,1,1,1,1,0.888889,1,1,0.9,1,1,1,0.888889,0.8,0.9,1,1,0.9,0.9,1,1,0.888889,1,0.9,1,0.9,1,1
5,2021-06-24_14:03:56,6,640,102744,0.925,0.92916,1,0,1,,737.040288,717.368116,706.644828,698.388732,,0.926667,0.890323,0.947712,0.95302,,1,1,1,,300,250,250,,1,2.5,2.5,,,,yes;,this experiment was really long and tedious; it wasnt really engaging takign me 2 hours to do,,,676.077778,669.99,704.471429,848.2875,806.677778,746.877778,687.88,759.24,812.628571,800.95,652.725,716.155556,646.375,833.4875,793.91,661.333333,775.87,752.088889,808.333333,729.983333,817.344444,681.188889,634.49,744.925,721.9,724.31,726.29,631.95,623.342857,787.0875,683,637.275,720.357143,759.566667,760.24,713.455556,752.17,674.1,650.65,742.922222,702.76,836.377778,685.4125,678.16,575.4,738.7,703.9625,614.15,652.742857,720,692.54,736.86,670.32,683.822222,662.075,790.425,725.14,672.677778,746.811111,607.975,606.155556,853.78,659.5875,648.7375,,1,1,0.777778,0.888889,1,1,1,1,0.777778,0.888889,0.888889,1,0.8,0.888889,1,0.9,1,0.9,1,0.6,1,0.9,1,0.888889,0.625,1,1,1,0.7,0.8,1,0.8,0.777778,1,1,1,1,1,1,0.9,1,1,0.888889,1,0.888889,0.888889,0.8,1,0.7,1,1,1,1,1,1,0.888889,1,0.9,0.9,0.888889,1,1,1,1
6,2021-06-24_22:38:12,4,640,80153,0.890625,0.898671,0,6,6,,850.912414,846.344275,797.832061,744.08806,,0.941558,0.86755,0.891156,0.893333,,1,0,0,,2,0,7000,,2,3,1,,,,yes I feel a little bit sleepy;,make the First part shorter,,,830.077778,956.344444,899.011111,912.49,943.11,833.766667,1029.36,982.414286,758.2,757.43,782.32,661.25,783.45,813.57,768.2125,942.885714,1070.6875,871.228571,869.05,914.922222,819.95,805.96,978.75,939.7625,917.6375,770.166667,670.88,721.4625,810.1625,898.275,853.916667,688.6125,1144.071429,937.4125,829.255556,886.011111,807.722222,747.611111,856.25,918.32,761.06,733.211111,626.377778,610.15,664.725,939.185714,788.7375,650.1375,854.39,918.2,887.8,799.4625,711.188889,721.75,975.866667,717.9875,647.355556,657.244444,701.8375,507.322222,850.514286,749.425,687.1625,593.522222,,1,0.9,0.9,1,1,1,1,0.777778,1,1,1,1,0.8,1,0.888889,0.777778,0.888889,0.777778,0.8,0.9,0.888889,1,0.888889,0.888889,0.888889,0.9,1,0.888889,0.8,0.8,0.666667,0.888889,0.7,1,1,1,1,0.9,0.888889,0.555556,1,1,1,0.8,0.888889,0.875,0.888889,0.8,1,1,0.888889,0.888889,0.9,0.888889,0.666667,0.8,0.9,1,0.888889,1,0.777778,1,0.8,0.9
7,2021-06-25_11:12:00,1,640,45082,0.39375,0.959677,0,360,360,,824.055738,850.008197,806.389831,777.391228,,0.968254,0.968254,0.983333,0.919355,,0,1,1,,300,300,25,,1.5,1.5,3,,,,Background noise; music;,Was very long,,,1026.54,908.0125,823.61,704.266667,651.8375,751.5,905.616667,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,870.588889,1102.8,959.0125,710.133333,667.27,811.633333,864.185714,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,811.68,865.711111,949.1625,684.766667,677.32,856.255556,858.275,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,726.155556,875.471429,799.577778,727.322222,594.177778,794.5125,1033.633333,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,,1,1,1,1,0.888889,1,0.857143,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,1,1,0.888889,0.9,1,1,1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,1,1,1,0.9,1,1,1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,1,0.777778,0.9,1,1,0.8,1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
8,2021-06-25_12:20:37,3,640,122227,0.96875,0.970346,0,1,1,,687.160811,702.904965,656.846575,636.788312,,0.993289,0.946309,0.954248,0.987179,,1,1,0.5,,120,100,40,,1,2,3,,,,yes i was distracted;,experiment gets tedious after a while,,,854.93,719.477778,728.066667,670.06,713.34,617.9,672.244444,641.333333,626.922222,648.977778,675.977778,709.133333,661.022222,750.17,626.39,651.033333,823.1,850.6,820.8875,627.6875,743.1,724.275,691.3,635.4,677.04,693.84,662.49,654.388889,662.6,642.8875,733.12,625.766667,789.0875,637.59,703.355556,646.266667,652.925,732.8,714.033333,617.0875,692.94,570.433333,695.7625,644.74,585.2375,659.98,590.41,588.74,681.01,722.15,737.04,610.64,642.44,714.6,660.8,670.92,603.633333,582.7,591.45,645.19,560.55,569.777778,597.8875,582.4,,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,0.888889,1,0.888889,1,1,0.8,0.888889,0.9,1,1,1,1,0.9,0.888889,1,1,0.888889,1,0.9,0.9,0.888889,1,0.9,0.888889,1,1,0.888889,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,0.9,1,1,1,1,1,1
9,2021-06-25_13:54:47,6,640,111260,0.982812,0.98843,0,3,3,,790.210164,779.712215,812.193221,751.835878,,0.987013,0.986755,0.993333,0.986667,,1,1,1,,400,350,40,,1,2,3,,,,No;,I liked the reward system and the sound for the reward was more motivating/kept my attention more.,,,869.04,905.412,797.791111,828.0985,824.2565,836.399444,845.193889,812.442778,778.458,782.9205,766.7455,834.694,606.907,768.9175,648.327,762.365,820.076667,871.816667,845.5375,829.307222,841.157,818.322778,791.064,777.688333,745.388,869.70125,780.093,697.3635,736.3145,680.2945,658.890556,750.393889,976.7075,968.717,926.4025,965.786111,781.712778,847.233333,911.573,770.408,804.1285,782.8935,815.281,755.824444,608.8375,773.452,646.642222,603.635625,833.867778,785.48,814.5655,768.369,918.89,887.7405,739.688889,768.633,667.755625,850.2,726.674375,640.730556,660.895,641.343889,641.718,646.216111,,0.888889,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0.888889,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0.888889,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1
10,2021-06-25_16:46:54,5,640,109295,0.970313,0.972039,0,0,0,,761.647368,759.340972,753.325503,742.184247,,0.974359,0.953642,0.986755,0.973333,,1,0.5,1,,900,800,900,,1.5,3,1.5,,,,Talking ;,Appreciate the medal advancement and task update,,,803.94,806.84,707.922222,676.633333,653.37,732.51,873.23,828.68,703.955556,750.01,717.87,769.455556,768.588889,834.5,705.3875,831.33,815.46,814.0375,791.422222,740.64,781.65,745.822222,800.922222,842.488889,666.666667,650.388889,662.328571,752.588889,695.244444,661.66,710.211111,986.39,879.375,769.211111,957.644444,686.575,695.31,696.422222,802.2,747.277778,746.88,658.64,760.94,710.51,721.54,687.33,797.0625,777.51,752.71,773.72,756.73,697.31,726.6375,673.9,768.966667,757.33,668.077778,731.55,691.188889,791.67,709.177778,713.9625,816.23,824.6,,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.9,0.8,1,1,0.888889,0.9,1,0.8,0.9,1,1,1,0.9,0.875,1,1,1,1,1,1,1,1,0.888889,1,1,1,1,1,1,1,1,1,1,0.888889,1,1,1,1,1,1,0.888889,0.9,1,0.9,1,0.9,1,1,1,1,1
11,2021-06-25_18:31:23,5,640,93807,0.9375,0.942244,0,2,2,,831.367347,834.661314,844.622297,816.318705,,0.954545,0.913333,0.96732,0.932886,,1,1,1,,250,200,30,,1,2,3,,,,no; I was in a room with the TV on but I had ambient music in headphones so it did not distract me #. ;,I found it pretty enjoyable and interesting! ,,,997.1,949.642857,950.944444,830.825,965.922222,778.71,855.01,823.97,766.68,756.06,820.411111,844.466667,758.35,803.26,778.27,749.55,974.816667,917.233333,844.366667,796.142857,946.375,760.544444,1075.455556,800.288889,759.8875,803.9,773.811111,817.322222,847.277778,688.755556,787.744444,802.922222,957.79,986.5375,784.175,835.2,986.3625,805.633333,881.14,871.58,769.05,826.2,909.93,793.14,759.566667,808.433333,828.01,724.088889,866.65,1047.014286,843.53,914.444444,801.466667,812.85,806.325,798.3875,753.033333,814.48,720.9,835.833333,805.09,826.522222,769.45,714.24,,0.666667,0.875,0.9,0.888889,0.9,1,1,1,1,1,1,1,1,1,1,1,0.666667,0.9,1,0.7,0.888889,0.9,1,1,0.888889,0.9,0.9,0.9,1,1,1,1,1,0.8,0.888889,1,0.888889,0.9,1,1,1,1,1,1,1,1,1,1,0.666667,0.777778,1,1,0.9,1,0.888889,0.888889,1,1,1,1,1,0.9,0.888889,1
12,2021-06-25_23:10:33,6,640,115614,0.967187,0.970395,0,0,0,,756.241333,696.272222,681.925175,633.715686,,0.974026,0.953642,0.966216,0.987097,,1,1,1,,416,324,45,,1,2,3,,,,no;,,,,737.833333,823.14,810.87,763.76,680.46,779,764.7875,673.722222,709.03,902.7,849.977778,763.344444,763.611111,725.633333,697.12,659.188889,762.7,733.4,698.25,701.822222,633.066667,667.6,761.0125,727.433333,648.111111,687.59,672.54,653.29,647.755556,685.68,701.6375,762.277778,720.975,691.1875,699.155556,737.55,666.455556,643.64,673.88,742.72,719.1625,681.328571,631.56,740.433333,650.844444,618.4,601.111111,701.7875,714.71,637.12,595.61,596.566667,617.19,603.76,670.83,672.255556,739.622222,618.36,583,613.155556,667.2625,638.77,604.94,576.61,,0.9,1,1,1,1,1,0.888889,1,1,0.9,1,1,1,1,1,0.9,1,1,1,1,1,0.875,0.888889,0.9,0.9,1,1,1,0.9,1,0.888889,0.9,1,0.888889,0.9,1,1,1,1,1,0.888889,0.875,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.888889,1,1,1
13,2021-06-26_00:14:37,3,640,129299,0.90625,0.904605,0,0,0,,561.71295,558.380292,558.416058,549.913139,,0.926667,0.913333,0.878205,0.901316,,1,1,1,,5000,4000,5000,,1.5,3,1.5,,,,no;,no,,,581.833333,575.355556,599.5,534.525,598.3875,552.875,588.5125,613.28,532.59,584.333333,526.9125,529.09,553.955556,570.675,522.077778,527.322222,620.65,534.3125,568.575,558.222222,653.44,549.711111,611.033333,519.175,545.522222,549.155556,507.7625,517.3125,547.5125,559.0875,541.277778,530.477778,659.9,497.411111,609.633333,546.777778,617.866667,578.255556,545.688889,497.422222,476.4,537.942857,526.955556,577.9,572.1,504.344444,613.77,538.116667,592.222222,540.3875,608.044444,546.288889,679.685714,538.175,573.475,570,523.775,504.866667,547.855556,529.9,530,523.144444,512.522222,502.244444,,0.666667,0.9,1,1,0.888889,0.8,0.888889,1,1,0.9,0.888889,1,1,0.888889,1,1,0.8,0.888889,0.888889,0.9,1,1,1,0.888889,0.9,1,0.888889,0.888889,0.8,0.888889,0.9,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.777778,0.777778,0.9,1,0.8,0.9,1,0.6,0.9,0.888889,1,0.9,0.777778,0.888889,0.8,1,0.888889,0.9,0.9,0.9,0.888889,0.9,1,0.9
14,2021-06-26_12:50:28,6,640,49323,0.820313,0.875657,1,36,37,,1050.304839,1117.046875,1064.747619,1021.405738,,0.885714,0.895105,0.863014,0.859155,,1,1,1,,200,150,0,,1,2,3,,,,looked around and easily distracted due to experiments duration and repetition;,,,,1009.7,855.85,888.414286,1175.375,918.385714,1174.975,1015.942857,1083.133333,889.544444,1178.957143,967.85,1284.055556,1283.3,1002.98,1005.985714,1078.1,831.65,871.03,825.6,1454.585714,948.8125,937.65,1283.322222,1179.55,1015.1,1047.033333,1215.055556,1106.63,1264.8,1242.885714,1249.983333,1286.344444,1036.3125,891.6625,670.25,1140.085714,914.225,1032.042857,1093.775,988.575,850.075,1413.571429,1117.63,1144.92,1155.69,1092.028571,1252.84,1054.8875,892.16,809.8625,867.244444,1106.014286,721.114286,1235.822222,954.1,1083.12,841.642857,1279.925,995.577778,1066.9,1320.7625,1067.788889,1106.642857,948.511111,,0.5,0.888889,0.777778,1,0.7,1,1,0.9,1,0.777778,1,1,1,1,0.875,0.9,0.5,1,0.888889,0.875,0.8,0.571429,1,1,1,0.9,0.9,1,1,1,0.75,1,0.8,0.888889,0.6,0.875,1,0.777778,0.888889,0.5,0.8,0.777778,1,1,1,0.875,1,1,0.625,0.8,1,0.875,0.7,0.9,0.9,0.625,0.777778,1,1,0.857143,1,1,0.777778,0.9
15,2021-06-26_14:32:25,2,640,106363,0.9125,0.918874,0,4,4,,720.358156,714.320863,722.879104,715.720567,,0.933775,0.914474,0.917808,0.909677,,1,1,1,,300,380,38,,2,1,3,,,,As i am self isolating and waiting for a covid result the buzzing of my phone sometimes distracted me.;,,,,940.33,706.66,856.3,654.875,816.857143,706.2125,737.8,854.688889,751.57,764.25,608.15,624.711111,587.771429,622.1375,643.7,580.6,984.875,776.788889,737.43,705.8375,698.76,782.577778,625.46,699.8,747.055556,715.514286,704.475,656.966667,662.8,686.44,599.725,654.1875,904.6375,818.277778,861.711111,782.411111,914.1625,633.2625,690.677778,757.157143,722.722222,638.675,768.3125,647.5125,674.8,594.044444,595.7375,555.6875,1083.244444,813.444444,801.855556,674.5,892.033333,679.99,681.2,716.7375,713.71,665.066667,713.755556,624.55,572.425,658.83,582.985714,528.444444,,1,1,1,1,0.875,0.8,1,0.9,1,1,1,1,0.777778,0.888889,1,0.7,0.888889,1,1,0.8,1,0.9,1,0.9,1,0.777778,1,0.9,0.777778,1,0.8,0.888889,1,1,0.9,0.9,0.8,1,0.9,1,1,0.888889,0.8,0.888889,0.9,1,0.888889,0.888889,0.9,0.9,1,0.9,1,1,0.888889,0.888889,1,0.9,0.9,0.8,0.8,1,0.777778,0.9
16,2021-06-26_23:23:43,2,80,0,0.9375,0.947368,0,0,0,,796.005556,809.427778,753.244444,668.877778,,0.947368,0.947368,0.9,1,,     NaN,     NaN,     NaN,,     NaN,     NaN,     NaN,,0,0,0,,,,,,,,837.4375,762.86,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,844.45,781.41,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,767.611111,738.877778,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,658.03,682.4375,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,,0.888889,1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0.888889,1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0.9,0.9,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,1,1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
17,2021-06-26_23:37:09,4,640,119480,0.965625,0.966997,0,2,2,,679.529932,712.810811,654.119863,622.44,,0.967105,0.96732,0.979866,0.953947,,0,0,0.5,,40,40,40,,2,2,2,,,,yes by the songs;,,,,726.211111,812.855556,631.877778,585.64,659.577778,676.25,676.566667,772.622222,785.144444,784.775,653.611111,563.58,700.088889,611.96,583.955556,690.644444,771.93,704.77,665.67,679.144444,656.9,668.188889,796.7,906.15,767.49,737.66,680.655556,740.92,729.9625,615.983333,668.93,539.011111,657.9,642.41,603.0375,687.466667,683.25,654.288889,665.44,683.45,661.4,666.44,800.91,616.5625,615.4,621.322222,596.788889,592.744444,691.022222,582.344444,549.59,576.788889,557.69,647.855556,542.225,812.85,789.1375,691.877778,515.688889,537.47,560.4,664.677778,707.5125,554.544444,,1,1,0.9,1,1,1,1,0.9,0.9,0.888889,1,1,1,1,1,0.9,1,1,1,1,0.888889,0.9,1,1,1,1,1,1,0.888889,0.857143,1,0.9,1,1,1,1,0.8,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,0.9,1,1,0.888889,1,0.888889,1,0.9,1,0.9,1,0.8,1
